PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical
Pet_Add,1,Add new pet to store,API,xPost,base_url;add_pet_endpoint;pet_payload,add_pet_response,200,n
Pet_Add,2,Validate pet creation,JSON,xValidateJson,id,pet_created,True,n
Pet_Add,3,Extract pet ID,JSON,xExtractJson,id,pet_id,valid_pet_id,n
Pet_Add,4,Verify pet name,JSON,xCompareJson,name;pet_name,pet_name_verified,True,n
Pet_Update,1,Update existing pet,API,xPut,base_url;update_pet_endpoint;updated_pet_payload,update_pet_response,200
Pet_Update,2,Validate pet update,JSON,xValidateJson,id,pet_updated,True
Pet_Update,3,Verify updated name,JSON,xCompareJson,name;updated_pet_name,update_verified,True
Pet_FindByStatus,1,Find pets by status,API,xGet,base_url;find_by_status_endpoint;status_param,pets_by_status_response,200
Pet_FindByStatus,2,Validate response,JSON,xValidateJson,pets,pets_found,True
Pet_FindByStatus,3,Extract pet count,JSON,xExtractJson,pets.length,pet_count,5
Pet_FindByStatus,4,Verify pet count,Math,xCompare,pet_count;0,pets_count_verified,True
Pet_FindById,1,Find pet by ID,API,xGet,base_url;find_by_id_endpoint;pet_id_param,pet_by_id_response,200
Pet_FindById,2,Validate pet found,JSON,xValidateJson,id,pet_found,True
Pet_FindById,3,Verify pet ID,JSON,xCompareJson,id;pet_id,pet_id_verified,True
Pet_UpdateForm,1,Update pet with form data,API,xPost,base_url;update_form_endpoint;form_data,update_form_response,200
Pet_UpdateForm,2,Validate form update,JSON,xValidateJson,message,form_update_success,True
Pet_UpdateForm,3,Verify update message,JSON,xCompareJson,message;Pet updated,form_update_verified,True
Pet_Delete,1,Delete pet by ID,API,xDelete,base_url;delete_pet_endpoint;pet_id_param,delete_pet_response,200
Pet_Delete,2,Validate pet deletion,JSON,xValidateJson,message,pet_deleted,True
Pet_Delete,3,Verify deletion message,JSON,xCompareJson,message;Pet deleted,deletion_verified,True
Pet_UploadImage,1,Upload pet image,API,xPost,base_url;upload_image_endpoint;image_file,upload_image_response,200
Pet_UploadImage,2,Validate image upload,JSON,xValidateJson,message,image_uploaded,True
Pet_UploadImage,3,Verify upload message,JSON,xCompareJson,message;Image uploaded,upload_verified,True
Store_PlaceOrder,1,Place store order,API,xPost,base_url;place_order_endpoint;order_payload,place_order_response,200
Store_PlaceOrder,2,Validate order placement,JSON,xValidateJson,id,order_placed,True
Store_PlaceOrder,3,Extract order ID,JSON,xExtractJson,id,order_id,valid_order_id
Store_PlaceOrder,4,Verify order status,JSON,xCompareJson,status;placed,order_status_verified,True
Store_GetOrder,1,Get order by ID,API,xGet,base_url;get_order_endpoint;order_id_param,get_order_response,200
Store_GetOrder,2,Validate order retrieval,JSON,xValidateJson,id,order_retrieved,True
Store_GetOrder,3,Verify order ID,JSON,xCompareJson,id;order_id,order_id_verified,True
Store_DeleteOrder,1,Delete order by ID,API,xDelete,base_url;delete_order_endpoint;order_id_param,delete_order_response,200
Store_DeleteOrder,2,Validate order deletion,JSON,xValidateJson,message,order_deleted,True
Store_DeleteOrder,3,Verify deletion message,JSON,xCompareJson,message;Order deleted,order_deletion_verified,True
Store_GetInventory,1,Get store inventory,API,xGet,base_url;get_inventory_endpoint,get_inventory_response,200
Store_GetInventory,2,Validate inventory response,JSON,xValidateJson,available,inventory_retrieved,True
Store_GetInventory,3,Extract available count,JSON,xExtractJson,available,available_count,10
Store_GetInventory,4,Verify inventory data,Math,xCompare,available_count;0,inventory_verified,True
User_Create,1,Create new user,API,xPost,base_url;create_user_endpoint;user_payload,create_user_response,200
User_Create,2,Validate user creation,JSON,xValidateJson,message,user_created,True
User_Create,3,Verify creation message,JSON,xCompareJson,message;User created,user_creation_verified,True
User_CreateWithArray,1,Create users with array,API,xPost,base_url;create_users_array_endpoint;users_array_payload,create_users_array_response,200
User_CreateWithArray,2,Validate users creation,JSON,xValidateJson,message,users_created,True
User_CreateWithArray,3,Verify creation message,JSON,xCompareJson,message;Users created,users_array_creation_verified,True
User_CreateWithList,1,Create users with list,API,xPost,base_url;create_users_list_endpoint;users_list_payload,create_users_list_response,200
User_CreateWithList,2,Validate users creation,JSON,xValidateJson,message,users_created,True
User_CreateWithList,3,Verify creation message,JSON,xCompareJson,message;Users created,users_list_creation_verified,True
User_Login,1,User login,API,xGet,base_url;user_login_endpoint;login_params,user_login_response,200
User_Login,2,Validate login success,JSON,xValidateJson,message,login_successful,True
User_Login,3,Extract session token,JSON,xExtractJson,message,session_token,valid_token
User_Login,4,Verify login message,JSON,xCompareJson,message;Login successful,login_verified,True
User_Logout,1,User logout,API,xGet,base_url;user_logout_endpoint,user_logout_response,200
